OpenSimKit output file created by OpenSimKit Java Version 3.7beta
Start time: 2012-07-28T13:12:03.421
System: Rocket propulsion system
Case:   nominal operation
Note:   03.01.2011

Result-table:
Mission Time	20_ENGINE-THRUST	20_ENGINE-ALT	22_STRUCTURE-SCVELOCITYX	22_STRUCTURE-SCVELOCITYY	22_STRUCTURE-SCVELOCITYZ	22_STRUCTURE-SCPOSITIONX	22_STRUCTURE-SCPOSITIONY	22_STRUCTURE-SCPOSITIONZ	22_STRUCTURE-SCPOSX_ECEF	22_STRUCTURE-SCPOSY_ECEF	22_STRUCTURE-SCPOSZ_ECEF	22_STRUCTURE-SCVELX_ECEF	22_STRUCTURE-SCVELY_ECEF	22_STRUCTURE-SCVELZ_ECEF	22_STRUCTURE-SCPOSLAT	22_STRUCTURE-SCPOSLON	22_STRUCTURE-SCPOSALT
1970-01-01T00:00:00.000	0.000000	600000.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2010-03-01T22:55:20.000	100.000000	600466.316388	-131.143285	2700.084397	7058.216152	6976956.691486	54002.468232	141166.419665	-5563238.883129	-4210600.407844	148277.557959	1416.628474	-1677.123299	7058.113744	0.021380	-2.493715	600466.316388
2010-03-01T22:55:40.000	100.000000	600979.182143	-295.019481	2698.959101	7055.260684	6972531.035116	107993.870218	282303.717139	-5533519.906541	-4243105.682701	289410.970288	1542.118928	-1583.207985	7054.991249	0.041735	-2.487426	600979.182143
2010-03-01T22:56:00.000	100.000000	601507.297693	-458.764407	2696.566230	7048.982513	6964829.170636	161948.821225	423345.350921	-5501296.158785	-4273728.048382	430445.379579	1667.167966	-1488.914244	7048.546171	0.062090	-2.481123	601507.297693
2010-03-01T22:56:20.000	100.000000	602052.099581	-622.300397	2692.907141	7039.385230	6953854.577788	215841.983666	564224.903785	-5466577.106308	-4302460.414959	571314.371857	1791.717700	-1394.285448	7038.782179	0.082443	-2.474799	602052.099581
2010-03-01T22:56:40.000	100.000000	602614.995497	-785.549811	2687.983809	7026.474047	6939612.289419	269648.053889	704876.048152	-5429373.372592	-4329296.560552	711951.624381	1915.710304	-1299.365012	7025.704565	0.102793	-2.468449	602614.995497
2010-03-01T22:57:00.000	100.000000	603197.363742	-948.435080	2681.798826	7010.255803	6922108.890455	323341.774516	845232.578564	-5389696.736493	-4354231.132105	852290.938108	2039.088047	-1204.196375	7009.320245	0.123138	-2.462065	603197.363742
2010-03-01T22:57:20.000	100.000000	603800.552738	-1110.878747	2674.355402	6990.738965	6901352.516046	376897.946825	985228.444240	-5347560.130077	-4377259.645545	992266.270260	2161.793321	-1108.822977	6989.637768	0.143476	-2.455641	603800.552738
2010-03-01T22:57:40.000	100.000000	604425.880598	-1272.803509	2665.657372	6967.933633	6877352.848852	430291.443158	1124797.781712	-5302977.635727	-4398378.485601	1131811.766942	2283.768678	-1013.288241	6966.667311	0.163807	-2.449170	604425.880598
2010-03-01T22:58:00.000	100.000000	605074.634736	-1434.132261	2655.709189	6941.851541	6850121.115488	483497.219346	1263874.947483	-5255964.482578	-4417584.905203	1270861.795810	2404.956863	-917.635545	6940.420687	0.184128	-2.442646	605074.634736
